instance_name,location,price,cpu,memory,gpu_count,gpu_name,gpu_memory,spot
Standard_D16s_v3,attatlanta1,1.037,,,,,,False
Standard_D16s_v3,attatlanta1,0.4148,,,,,,True
Standard_D16s_v3,attdallas1,1.188,,,,,,False
Standard_D16s_v3,attdallas1,0.4752,,,,,,True
Standard_D16s_v3,attdetroit1,0.768,,,,,,False
Standard_D16s_v3,attdetroit1,0.3072,,,,,,True
Standard_D16s_v3,attnewyork1,0.768,,,,,,False
Standard_D16s_v3,attnewyork1,0.3072,,,,,,True
Standard_D16s_v3,australiacentral,1.0,,,,,,False
Standard_D16s_v3,australiacentral,0.1,,,,,,True
Standard_D16s_v3,australiacentral2,1.0,,,,,,False
Standard_D16s_v3,australiacentral2,0.1,,,,,,True
Standard_D16s_v3,australiaeast,1.0,,,,,,False
Standard_D16s_v3,australiaeast,0.1007,,,,,,True
Standard_D16s_v3,australiasoutheast,1.0,,,,,,False
Standard_D16s_v3,australiasoutheast,0.1001,,,,,,True
Standard_D16s_v3,brazilsouth,1.272,,,,,,False
Standard_D16s_v3,brazilsouth,0.1272,,,,,,True
Standard_D16s_v3,brazilsoutheast,1.654,,,,,,False
Standard_D16s_v3,brazilsoutheast,0.165731,,,,,,True
Standard_D16s_v3,canadacentral,0.888,,,,,,False
Standard_D16s_v3,canadacentral,0.089954,,,,,,True
Standard_D16s_v3,canadaeast,0.888,,,,,,False
Standard_D16s_v3,canadaeast,0.089066,,,,,,True
Standard_D16s_v3,centralindia,0.84,,,,,,False
Standard_D16s_v3,centralindia,0.08862,,,,,,True
Standard_D16s_v3,centralus,0.88,,,,,,False
Standard_D16s_v3,centralus,0.091168,,,,,,True
Standard_D16s_v3,eastasia,1.056,,,,,,False
Standard_D16s_v3,eastasia,0.105917,,,,,,True
Standard_D16s_v3,eastus,0.768,,,,,,False
Standard_D16s_v3,eastus,0.224333,,,,,,True
Standard_D16s_v3,eastus2,0.768,,,,,,False
Standard_D16s_v3,eastus2,0.21696,,,,,,True
Standard_D16s_v3,francecentral,0.896,,,,,,False
Standard_D16s_v3,francecentral,0.089869,,,,,,True
Standard_D16s_v3,francesouth,1.1648,,,,,,False
Standard_D16s_v3,francesouth,0.11648,,,,,,True
Standard_D16s_v3,germanynorth,1.196,,,,,,False
Standard_D16s_v3,germanynorth,0.1196,,,,,,True
Standard_D16s_v3,germanywestcentral,0.92,,,,,,False
Standard_D16s_v3,germanywestcentral,0.092092,,,,,,True
Standard_D16s_v3,israelcentral,0.944,,,,,,False
Standard_D16s_v3,israelcentral,0.3776,,,,,,True
Standard_D16s_v3,italynorth,0.896,,,,,,False
Standard_D16s_v3,italynorth,0.3584,,,,,,True
Standard_D16s_v3,japaneast,1.032,,,,,,False
Standard_D16s_v3,japaneast,0.104129,,,,,,True
Standard_D16s_v3,japanwest,1.032,,,,,,False
Standard_D16s_v3,japanwest,0.1032,,,,,,True
Standard_D16s_v3,jioindiacentral,0.84,,,,,,False
Standard_D16s_v3,jioindiawest,0.84,,,,,,False
Standard_D16s_v3,koreacentral,0.984,,,,,,False
Standard_D16s_v3,koreacentral,0.100466,,,,,,True
Standard_D16s_v3,koreasouth,0.886,,,,,,False
Standard_D16s_v3,koreasouth,0.0886,,,,,,True
Standard_D16s_v3,northcentralus,0.8,,,,,,False
Standard_D16s_v3,northcentralus,0.08016,,,,,,True
Standard_D16s_v3,northeurope,0.856,,,,,,False
Standard_D16s_v3,northeurope,0.124462,,,,,,True
Standard_D16s_v3,norwayeast,1.056,,,,,,False
Standard_D16s_v3,norwayeast,0.1056,,,,,,True
Standard_D16s_v3,norwaywest,1.373,,,,,,False
Standard_D16s_v3,norwaywest,0.1373,,,,,,True
Standard_D16s_v3,polandcentral,1.056,,,,,,False
Standard_D16s_v3,polandcentral,0.270336,,,,,,True
Standard_D16s_v3,qatarcentral,0.942,,,,,,False
Standard_D16s_v3,qatarcentral,0.2485,,,,,,True
